9;9;9;                                             9;9;9;                                                                                               4
9;9;9;                                             9;9;9;                                                                                               10
9;9;9;                                             9;9;9;                                                                                               2
9;9;9;                                             9;9;9;                                                                                               5
9;9;9;                                             9;9;9;                                                                                               1
9;9;9;                                             9;9;9;                                                                                               3
8;8;8;                                             8;8;8;                                                                                               9
8;8;8;                                             8;8;8;                                                                                               7
8;8;8;                                             8;8;8;                                                                                               12
8;8;8;                                             8;8;8;                                                                                               6
8;8;8;                                             8;8;8;                                                                                               8
7;7;7;                                             7;7;7;                                                                                               11
The time: 37 ms
